13 May 2000 
 
Subsidiary General Ledger Account Transactions in Government Dated 
Securities and Treasury Bills at RBI, Mumbai on 12 May 2000 
 
 
Nomenclature  Amount Price * YTM % 
  (Face Value) Per Rs.100 Indicative 
  (in Rs.Crore) nominal  
     
I. Outright Transactions 
A. Government of India Dated Securities 
Contract Date : May 08, 2000 
12.69% 2002 5 105.835 9.4281 
11.83% 2014 20 107.94 10.7376 
 Contract Date : May 10, 2000  
Zero Coupon Bond 2000(III) 10 98.618 8.1125 
Zero Coupon Bond 2000(III) 5 98.618 8.1125 
11.40% 2000 5 100.845 9.0642 
11.55% 2001 5 102.41 9.257 
11.55% 2001 5 102.46 9.2109 
11.55% 2001 5 102.42 9.2478 
11.55% 2001 5 102.43 9.2386 
11.55% 2001 15 102.43 9.2386 
11.55% 2001 5 102.51 9.1649 
11.55% 2001 10 102.42 9.2478 
11.55% 2001 5 102.505 9.1695 
11.55% 2001 5 102.41 9.257 
11.55% 2001 5 102.43 9.2386 
11.75% 2001 10 103.04 9.1739 
11.75% 2001 5 102.95 9.2476 
11.75% 2001 5 102.9 9.2886 
11.75% 2001 5 102.91 9.2804 
11.75% 2001 5 102.94 9.2558 
11.75% 2001 5 102.9 9.2886 
12.69% 2002 5 105.87 9.4021 
11.15% 2002 5 103.5 9.4129 
11.15% 2002 5 103.5 9.4129 
11.15% 2002 10 103.49 9.4177 
11.15% 2002 15 103.5 9.4129 
11.83% 2003 5 106.1 9.5523 
12.50% 2004 5 108.92 9.6729 
12.50% 2004 5 108.92 9.6729 
12.50% 2004 5 108.95 9.6639 
12.50% 2004 5 108.92 9.6729 
12.50% 2004 5 108.9 9.6788 
12.50% 2004 5 108.94 9.6669 
12.50% 2004 25 108.98 9.6549 
11.50% 2004 5 105.91 9.6817 
11.50% 2004 5 105.92 9.6787 
11.50% 2004 5 105.915 9.6802 
11.98% 2004 5 107.91 9.6898 11.98% 2004 5 107.9 9.6926 
11.98% 2004 5 107.9 9.6926 
11.98% 2004 5 107.9 9.6926 
9.90% 2005 25 100.345 9.8076 
9.90% 2005 5 100.31 9.8167 
9.90% 2005 5 100.36 9.8037 
9.90% 2005 5 100.35 9.8063 
9.90% 2005 20 100.38 9.7985 
     
9.90% 2005 25 100.38 9.7985 
9.90% 2005 10 100.37 9.8011 
9.90% 2005 5 100.32 9.8141 
11.19% 2005 5 105.46 9.8267 
11.68% 2006 5 107.68 9.9281 
11.68% 2006 5 107.6 9.9455 
11.75% 2006 5 107.85 9.9622 
9.50% 2008 0.5 96.6 10.1369 
12.00% 2008 5 109.15 10.2897 
12.00% 2008 10 109.245 10.273 
12.00% 2008 5 109.23 10.2756 
12.00% 2008 5 109.18 10.2844 
12.00% 2008 5 109.2 10.2809 
12.00% 2008 5 109.2 10.2809 
12.00% 2008 5 109.24 10.2739 
12.00% 2008 5 109.18 10.2844 
12.00% 2008 5 109.2 10.2809 
12.00% 2008 10 109.22 10.2774 
12.00% 2008 5 109.2 10.2809 
12.00% 2008 5 109.19 10.2827 
12.00% 2008 10 109.18 10.2844 
11.50% 2008 5 106.53 10.2845 
11.50% 2008 10 106.5 10.2898 
12.25% 2008 5 110.49 10.3348 
12.25% 2008 10 110.48 10.3365 
11.99% 2009 5 109.04 10.4049 
11.99% 2009 10 109.12 10.3917 
11.99% 2009 10 109.15 10.3868 
11.99% 2009 5 109.15 10.3868 
11.99% 2009 5 109.15 10.3868 
11.99% 2009 5 109.15 10.3868 
11.99% 2009 5 109.02 10.4082 
11.99% 2009 5 109.23 10.3736 
12.29% 2010 10 110.93 10.465 
12.29% 2010 10 110.9 10.4696 
12.25% 2010 5 110.6 10.5201 
12.25% 2010 10 110.6 10.5201 
12.25% 2010 5 110.57 10.5246 
12.25% 2010 5 110.65 10.5125 
12.32% 2011 10 110.8 10.6036 
12.32% 2011 5 110.8 10.6036 
12.32% 2011 5 110.8 10.6036 
9.00% 2013 1 90 10.4182 11.83% 2014 5 107.96 10.7351 
11.83% 2014 25 107.95 10.7364 
11.83% 2014 10 107.93 10.739 
11.83% 2014 10 107.9 10.7429 
11.83% 2014 10 107.83 10.752 
11.83% 2014 5 107.8 10.7559 
11.83% 2014 15 107.75 10.7624 
11.83% 2014 5 107.87 10.7468 
11.83% 2014 10 107.87 10.7468 
11.83% 2014 5 107.75 10.7624 
11.83% 2014 5 107.9 10.7429 
11.83% 2014 5 107.85 10.7494 
11.83% 2014 5 107.9 10.7429 
11.83% 2014 10 107.92 10.7403 
11.50% 2015 1 105.83 10.71 
12.60% 2018 15 114.3 10.7981 
12.60% 2018 10 114.3 10.7981 
12.60% 2018 5 114.3 10.7981 
     
12.60% 2018 5 114.25 10.8038 
Contract Date : May 11, 2000 
Zero Coupon Bond 2000(II) 5 98.277 8.4045 
Zero Coupon Bond 2000(II) 10 98.281 8.3844 
Zero Coupon Bond 2000(II) 10 98.277 8.4045 
11.40% 2000 5 100.835 9.0735 
13.85% 2000 1 103.05 8.7056 
11.55% 2001 10 102.44 9.2244 
11.55% 2001 5 102.41 9.2521 
11.55% 2001 5 102.4 9.2613 
11.55% 2001 5 102.41 9.2521 
11.55% 2001 5 102.38 9.2798 
11.55% 2001 5 102.36 9.2983 
11.55% 2001 10 102.4 9.2613 
11.55% 2001 5 102.37 9.2891 
11.55% 2001 10 102.39 9.2706 
11.55% 2001 35 102.4 9.2613 
11.55% 2001 30 102.4 9.2613 
11.55% 2001 5 102.39 9.2706 
11.55% 2001 5 102.35 9.3076 
11.55% 2001 5 102.37 9.2891 
11.55% 2001 5 102.38 9.2798 
11.75% 2001 10 102.86 9.3165 
11.75% 2001 5 102.93 9.259 
11.75% 2001 5 102.9 9.2836 
11.75% 2001 10 102.94 9.2508 
11.75% 2001 5 102.9 9.2836 
11.75% 2001 5 102.94 9.2508 
11.75% 2001 10 102.94 9.2508 
11.75% 2001 10 102.9 9.2836 
11.75% 2001 15 102.91 9.2754 
11.75% 2001 10 102.91 9.2754 
11.15% 2002 5 103.53 9.3966 11.15% 2002 5 103.55 9.387 
11.15% 2002 5 103.51 9.4062 
11.15% 2002 10 103.5 9.411 
11.15% 2002 5 103.51 9.4062 
11.15% 2002 5 103.52 9.4014 
11.15% 2002 5 103.48 9.4206 
11.15% 2002 5 103.45 9.4351 
11.15% 2002 10 103.51 9.4062 
11.15% 2002 5 103.51 9.4062 
11.15% 2002 5 103.51 9.4062 
13.82% 2002 1 108.9 9.4942 
11.10% 2003 5 104 9.4849 
11.83% 2003 5 106.15 9.5329 
11.83% 2003 5 106.2 9.515 
11.83% 2003 5 106.18 9.5222 
12.50% 2004 5 108.85 9.6921 
12.50% 2004 5 108.85 9.6921 
12.50% 2004 5 108.95 9.6622 
12.50% 2004 25 108.945 9.6637 
12.50% 2004 5 108.9 9.6771 
12.50% 2004 10 108.945 9.6637 
12.50% 2004 5 108.92 9.6712 
12.50% 2004 5 108.94 9.6652 
12.50% 2004 5 108.91 9.6741 
12.50% 2004 5 108.89 9.6801 
12.50% 2004 10 108.85 9.6921 
12.50% 2004 5 108.84 9.6951 
12.50% 2004 5 108.96 9.6592 
     
12.50% 2004 5 108.88 9.6831 
12.50% 2004 5 108.95 9.6622 
12.50% 2004 5 108.93 9.6682 
12.50% 2004 10 108.9 9.6771 
12.50% 2004 5 108.88 9.6831 
11.50% 2004 5 105.83 9.7042 
11.98% 2004 5 107.92 9.6859 
11.98% 2004 5 107.92 9.6859 
11.98% 2004 5 107.93 9.6831 
11.98% 2004 10 107.86 9.7024 
11.98% 2004 5 107.9 9.6914 
11.98% 2004 10 107.935 9.6818 
11.98% 2004 10 107.9 9.6914 
9.90% 2005 5 100.36 9.8035 
9.90% 2005 10 100.27 9.8269 
9.90% 2005 5 100.37 9.8009 
9.90% 2005 5 100.36 9.8035 
9.90% 2005 5 100.36 9.8035 
9.90% 2005 5 100.34 9.8087 
9.90% 2005 5 100.36 9.8035 
11.68% 2006 5 107.58 9.9491 
11.68% 2006 5 107.58 9.9491 
11.68% 2006 5 107.55 9.9556 11.68% 2006 5 107.58 9.9491 
11.75% 2006 5 107.85 9.9614 
11.75% 2006 5 107.85 9.9614 
11.75% 2006 5 107.86 9.9593 
13.05% 2007 0.95 114.45 10.1023 
12.00% 2008 1 109 10.3157 
12.00% 2008 10 109.08 10.3016 
12.00% 2008 10 109 10.3157 
12.00% 2008 5 109.05 10.3069 
