Government Dated Securities and Treasury Bills
at RBI, Mumbai on 30 November 2000
1
 11.40 %  2008                      5.00          101.45          11.1087
 11.40 %  2008                      5.00          101.45          11.1087
 11.40 %  2008                     10.00          101.42          11.1145
 11.40 %  2008                      5.00          101.42          11.1145
 11.40 %  2008                      5.00          101.44          11.1106
 11.40 %  2008                      5.00          101.44          11.1106
 11.40 %  2008                      5.00          101.47          11.1048
 10.80 %  2008                     10.00           97.95          11.2000
 10.80 %  2008                      5.00           98.04          11.1819
 11.90 %  2007                     10.00          104.265         10.9649
 11.00 %  2006                      5.00          100.84          10.7903
 11.00 %  2006                      5.00          100.86          10.7855
 11.00 %  2006                      5.00          100.84          10.7903
 11.00 %  2006                      5.00          100.86          10.7855
 11.00 %  2006                      5.00          100.86          10.7855
 11.00 %  2006                      5.00          100.87          10.7831
 11.19 %  2005                      5.00          102.11          10.5991
 11.19 %  2005                     10.00          102.115         10.5977
 14.00 %  2005                      0.20          111.10          10.8299
 11.98 %  2004                      5.00          104.51          10.4901
 12.50 %  2004                      5.00          105.63          10.4350
 12.50 %  2004                      5.00          105.62          10.4385
 12.50 %  2004                      5.00          105.63          10.4350
 12.50 %  2004                      5.00          105.65          10.4279
 12.50 %  2004                      5.00          105.65          10.4279
 12.50 %  2004                      5.00          105.63          10.4350
 12.50 %  2004                      5.00          105.63          10.4350
 12.50 %  2004                      5.00          105.615         10.4402
 12.50 %  2004                      5.00          105.64          10.4314
 11.15 %  2002                      5.00          101.40          10.2364
 11.15 %  2002                      5.00          101.40          10.2364
 10.85 %  2001                     10.00          100.405         10.1588
          Contract Date : November 29, 2000
 11.50 %  2011                      5.00           99.93          11.5108
 11.50 %  2011                      5.00           99.93          11.5108
 11.90 %  2007                      0.50          103.82          11.0605
          Contract Date : November 28, 2000
 11.40 %  2008                     10.00          101.46          11.1070
          Contract Date : November 26, 2000
A.Government of India Dated Securities
I.  Outright Transactions
---------------------------------------------------------------------------
                                 (in Rs.Crore)    nominal
                                 (Face Value)     Per Rs.100   Indicative
   Nomenclature                  Amount           Price *        YTM %
---------------------------------------------------------------------------
Subsidiary General Ledger Account Transactions in2
 11.50 %  2011                      5.00          100.04          11.4928
