 
 
29 Nov 2000 
 
Subsidiary General Ledger Account Transactions in  
Government Dated Securities and Treasury Bills 
at RBI, Mumbai on 29 November 2000 
 
--------------------------------------------------------------------------- 
   Nomenclature                  Amount           Price *        YTM % 
                                 (Face Value)     Per Rs.100   Indicative 
                                 (in Rs.Crore)    nominal 
--------------------------------------------------------------------------- 
 
I.  Outright Transactions 
A.Government of India Dated Securities 
          Contract Date : November 23, 2000 
 11.40 %  2008                      1.75          101.62          11.0763 
          Contract Date : November 27, 2000 
 11.50 %  2011                      5.00           99.96          11.5061 
          Contract Date : November 28, 2000 
 10.85 %  2001                      5.00          100.365         10.2240 
 11.75 %  2001                      5.00          101.04          10.2062 
 11.75 %  2001                      5.00          101.04          10.2062 
 11.15 %  2002                      5.00          101.35          10.2692 
 11.15 %  2002                     10.00          101.36          10.2629 
 12.50 %  2004                      5.00          105.59          10.4505 
 12.50 %  2004                      0.50          105.51          10.4786 
 12.50 %  2004                     10.00          105.595         10.4487 
 12.50 %  2004                      5.00          105.59          10.4505 
 12.50 %  2004                      5.00          105.59          10.4505 
 12.50 %  2004                     10.00          105.58          10.4540 
 12.59 %  2004                      5.00          105.77          10.5947 
 11.75 %  2004                      5.00          103.40          10.5733 
 11.00 %  2006                      5.00          100.77          10.8070 
 11.00 %  2006                      5.00          100.76          10.8094 
 11.90 %  2007                      1.00          104.05          11.0113 
 11.90 %  2007                      0.50          103.75          11.0755 
 11.40 %  2008                      5.00          101.29          11.1398 
 11.40 %  2008                      5.00          101.28          11.1417 
 11.40 %  2008                      5.00          101.315         11.1349 
 11.40 %  2008                      5.00          101.325         11.1330 
 11.40 %  2008                      5.00          101.33          11.1320 
 11.40 %  2008                      5.00          101.33          11.1320 
 11.99 %  2009                      5.00          103.81          11.2682 
 11.99 %  2009                      5.00          103.81          11.2682 
 11.30 %  2010                      0.01          100.15          11.2682 
 11.30 %  2010                      5.00           99.55          11.3719 
 11.30 %  2010                      1.00           99.35          11.4067 
 11.30 %  2010                      0.50           99.44          11.3910 
 11.30 %  2010                      5.00           99.50          11.3806 
 11.50 %  2011                      5.00           99.91          11.5141 
 11.50 %  2011                     10.00           99.92          11.5125 
 11.50 %  2011                      5.00           99.915         11.5133  11.50 %  2011                     10.00           99.92          11.5125 
 11.50 %  2011                      1.00          100.01          11.4978 
 11.03 %  2012                      0.15           96.70          11.5476 
 11.03 %  2012                      5.00           96.60          11.5638 
 11.50 %  2015                      2.00           99.25          11.6073 
 11.50 %  2015                      3.00           99.20          11.6146 
 11.43 %  2015                      0.1375         98.85          11.5893 
 11.43 %  2015                      3.8955         98.80          11.5965 
 10.70 %  2020                      0.25           93.80          11.5020 
 10.70 %  2020                      0.50           93.45          11.5500 
          Contract Date : November 29, 2000 
 10.85 %  2001                      5.00          100.38          10.1982 
 11.75 %  2001                      5.00          101.07          10.1581 
 11.75 %  2001                      5.00          101.06          10.1723 
 11.75 %  2001                      5.00          101.06          10.1723 
 11.75 %  2001                      5.00          101.07          10.1581 
 11.75 %  2001                     10.00          101.07          10.1581 
 11.75 %  2001                     15.00          101.065         10.1652 
 11.75 %  2001                     10.00          101.07          10.1581 
 11.75 %  2001                      5.00          101.07          10.1581 
 12.69 %  2002                     10.00          103.02          10.3776 
 12.69 %  2002                      5.00          103.02          10.3776 
 12.69 %  2002                      5.00          103.00          10.3925 
 12.69 %  2002                     15.00          103.00          10.3925 
 11.15 %  2002                      5.00          101.38          10.2490 
 11.15 %  2002                      5.00          101.40          10.2364 
 11.15 %  2002                      5.00          101.385         10.2459 
 11.15 %  2002                      5.00          101.39          10.2427 
 11.15 %  2002                      5.00          101.38          10.2490 
 11.15 %  2002                      5.00          101.38          10.2490 
 11.15 %  2002                      5.00          101.39          10.2427 
 11.15 %  2002                      5.00          101.39          10.2427 
 11.15 %  2002                      5.00          101.385         10.2459 
 11.10 %  2003                      5.00          101.515         10.3449 
 11.10 %  2003                      5.00          101.55          10.3279 
 11.10 %  2003                      5.00          101.55          10.3279 
 11.10 %  2003                      5.00          101.53          10.3376 
 11.10 %  2003                      5.00          101.55          10.3279 
 11.10 %  2003                      5.00          101.54          10.3328 
 11.10 %  2003                      5.00          101.52          10.3425 
 11.10 %  2003                      5.00          101.54          10.3328 
 11.10 %  2003                      5.00          101.55          10.3279 
