1
%  2003                      5.00          105.80           9.7745 11.83 
%  2003                      5.00          103.53           9.7513 11.10 
%  2003                      5.00          103.53           9.7513 11.10 
%  2003                      5.00          103.50           9.7624 11.10 
%  2002                      5.00          103.22           9.6770 11.15 
%  2002                      5.00          103.26           9.6591 11.15 
%  2002                     10.00          103.21           9.6815 11.15 
%  2002                     20.10          106.17           9.8449 12.75 
%  2002                      0.50          107.18           9.8328 13.40 
%  2001                     20.00          101.60           9.6147 10.85 
%  2001                     10.00          101.63           9.5920 10.85 
%  2001                     10.00          101.615          9.6033 10.85 
%  2001                      5.00          101.62           9.5996 10.85 
%  2001                     10.00          101.61           9.6071 10.85 
%  2001                     10.00          101.635          9.5882 10.85 
%  2001                     10.00          101.635          9.5882 10.85 
%  2001                      5.00          101.62           9.5996 10.85 
%  2001                      5.00          101.62           9.5996 10.85 
%  2001                      5.00          101.61           9.6071 10.85 
%  2001                      5.00          101.62           9.5996 10.85 
%  2001                      5.00          101.62           9.5996 10.85 
%  2001                      5.00          101.62           9.5996 10.85 
%  2001                     20.00          101.64           9.5844 10.85 
%  2001                     10.00          101.615          9.6033 10.85 
%  2001                     25.00          101.62           9.5996 10.85 
%  2001                     10.00          101.63           9.5920 10.85 
%  2001                     10.00          102.41           9.5896 11.55 
%  2001                      5.00          102.42           9.5817 11.55 
%  2001                     10.00          102.40           9.5975 11.55 
%  2001                     25.00          102.40           9.5975 11.55 
%  2001                     25.00          102.40           9.5975 11.55 
%  2001                     10.00          102.97           9.6471 12.08 
%  2000                      5.00          103.18           9.7775 13.85 
%  2000                      5.00          103.30           9.6301 13.85 
%  2000                     20.10          100.95           9.6872 11.40 
%  2000                      5.00          100.935          9.7134 11.40 
%  2000                      5.00          100.94           9.7046 11.40 
%  2000                      5.00          100.95           9.6872 11.40 
Bond  2000             20.00           96.283          9.1141 Zero Coupon 
%  2000                      5.00          100.75           9.7393 11.64 
A.Government of India Dated Securities
I.  Outright Transactions
---------------------------------------------------------------------------
Rs.Crore)    nominal in                                  (
Rs.100   Indicative                                 (Face Value)     Per 
Nomenclature                  Amount           Price *        YTM %   
---------------------------------------------------------------------------
at RBI, Mumbai on 24 February 2000
Government Dated Securities and Treasury Bills
Subsidiary General Ledger Account Transactions in2
%  2008                      5.00          108.95          10.3464 12.00 
%  2008                     25.00          108.95          10.3464 12.00 
%  2007                     10.00          106.40          10.2634 11.50 
%  2007                     10.00          108.30          10.2444 11.90 
%  2007                      5.00          108.31          10.2426 11.90 
%  2007                      5.00          108.30          10.2444 11.90 
%  2006                      5.00          107.14          10.1530 11.75 
%  2006                      5.00          107.14          10.1530 11.75 
%  2006                      5.00          107.15          10.1509 11.75 
%  2006                      5.00          107.14          10.1530 11.75 
%  2006                      5.00          106.85          10.1455 11.68 
%  2006                      5.00          106.83          10.1497 11.68 
%  2006                      5.00          106.85          10.1455 11.68 
%  2006                      5.00          106.84          10.1476 11.68 
%  2006                      5.00          106.84          10.1476 11.68 
%  2006                      5.00          106.84          10.1476 11.68 
%  2006                      5.00          106.84          10.1476 11.68 
%  2006                      5.00          106.84          10.1476 11.68 
%  2006                      5.00          106.85          10.1455 11.68 
%  2005(INSTA               15.00          115.70          10.2187 14.00 
%  2005(INSTA               10.00          115.70          10.2187 14.00 
%  2005                      5.00          104.65          10.0614 11.19 
%  2005                      5.00          104.69          10.0520 11.19 
%  2005                      5.00          104.69          10.0520 11.19 
%  2005                      5.00          104.69          10.0520 11.19 
%  2005                      5.00          104.69          10.0520 11.19 
%  2005                      5.00          104.68          10.0543 11.19 
%  2005                      5.00          104.83          10.0438 11.25 
%  2005                      5.00          104.82          10.0462 11.25 
%  2005                     15.00          115.205         10.1988 14.00 
%  2005                     10.00          113.93          10.2186 13.75 
%  2004                      5.00          107.245          9.9544 11.98 
%  2004                      5.00          107.25           9.9531 11.98 
%  2004                      5.00          107.25           9.9531 11.98 
%  2004                      5.00          107.25           9.9531 11.98 
%  2004                      0.02          109.40           9.8539 12.59 
%  2004                      5.00          105.26           9.9304 11.50 
%  2004                      5.00          105.25           9.9333 11.50 
%  2004                      5.00          105.25           9.9333 11.50 
