1
%  2004                     10.00          108.44           9.9292 12.50 
%  2004                      5.00          108.42           9.9349 12.50 
%  2004                      5.00          108.41           9.9378 12.50 
%  2004                      5.00          108.415          9.9364 12.50 
%  2003                      5.00          105.805          9.7743 11.83 
%  2003                      5.00          105.79           9.7794 11.83 
%  2003                      5.00          103.54           9.7484 11.10 
%  2002(I)                   5.00          104.36           9.6788 11.55 
%  2002(I)                  10.00          104.36           9.6788 11.55 
%  2002(I)                  10.00          104.36           9.6788 11.55 
%  2002(I)                  10.00          104.36           9.6788 11.55 
%  2002(I)                  15.00          104.345          9.6850 11.55 
%  2002                     15.00          103.25           9.6647 11.15 
%  2002                     20.00          103.25           9.6647 11.15 
%  2002                      5.00          103.26           9.6603 11.15 
%  2002                      5.00          103.26           9.6603 11.15 
%  2002                      5.00          103.26           9.6603 11.15 
%  2002                      5.00          104.26           9.6818 11.68 
%  2002                      5.00          106.17           9.8480 12.75 
%  2002                      5.00          102.62           9.6428 11.00 
%  2002                      5.00          102.61           9.6478 11.00 
%  2002                      5.00          102.61           9.6478 11.00 
%  2002                      5.00          102.62           9.6428 11.00 
%  2001                      5.00          101.66           9.5720 10.85 
%  2001                      5.00          101.61           9.6097 10.85 
%  2001                      5.00          101.62           9.6022 10.85 
%  2001                     10.00          101.70           9.5419 10.85 
%  2001                     25.00          102.43           9.5778 11.55 
%  2001                      5.00          102.43           9.5778 11.55 
%  2001                      5.00          102.45           9.5620 11.55 
%  2000                      5.00          100.95           9.6941 11.40 
%  2000                     25.00          100.93           9.7287 11.40 
%  2000                     10.00          100.96           9.6767 11.40 
%  2000                      5.00          100.92           9.7461 11.40 
%  2000                      5.00          100.95           9.6941 11.40 
%  2000                      5.00          100.95           9.6941 11.40 
%  2000                      5.00          100.92           9.7461 11.40 
%  2000                     15.00          100.94           9.7114 11.40 
%  2000                     30.00          100.92           9.7461 11.40 
%  2000                      2.00          100.82           8.3285 13.25 
A.Government of India Dated Securities
I.  Outright Transactions
---------------------------------------------------------------------------
Rs.Crore)    nominal in                                  (
Rs.100   Indicative                                 (Face Value)     Per 
Nomenclature                  Amount           Price *        YTM %   
---------------------------------------------------------------------------
at RBI, Mumbai on 23 February 2000
Government Dated Securities and Treasury Bills
Subsidiary General Ledger Account Transactions in2
%  2008                      5.00          108.95          10.3467 12.00 
%  2008                     25.00          108.96          10.3450 12.00 
%  2008                      5.00          108.95          10.3467 12.00 
%  2008                     20.00          108.95          10.3467 12.00 
%  2008                      5.00          108.95          10.3467 12.00 
%  2008                      1.50          108.82          10.3693 12.00 
%  2008                      5.00          108.95          10.3467 12.00 
%  2008                      5.00          108.95          10.3467 12.00 
%  2008                    400.00          108.95          10.3467 12.00 
%  2008                     20.00          108.95          10.3467 12.00 
%  2008                      1.50          108.82          10.3693 12.00 
%  2008                      5.00          108.95          10.3467 12.00 
%  2008                     20.00          108.95          10.3467 12.00 
%  2008                      1.00          108.95          10.3467 12.00 
%  2008                      5.00          108.95          10.3467 12.00 
%  2007                      5.00          106.46          10.2525 11.50 
%  2007                      5.00          108.32          10.2411 11.90 
%  2007                      0.80          114.00          10.2376 13.05 
%  2006                      5.00          106.10          10.1458 11.50 
%  2006                     10.00          107.16          10.1492 11.75 
%  2006                     10.00          107.14          10.1535 11.75 
%  2006                      5.00          107.17          10.1471 11.75 
%  2006                      5.00          107.17          10.1471 11.75 
%  2006                      5.00          107.17          10.1471 11.75 
%  2006                      5.00          107.16          10.1492 11.75 
%  2006                      5.00          107.165         10.1482 11.75 
%  2006                      5.00          107.16          10.1492 11.75 
%  2006                      5.00          107.16          10.1492 11.75 
%  2006                      5.00          107.18          10.1450 11.75 
%  2006                     10.00          107.16          10.1492 11.75 
%  2006                      5.00          106.83          10.1501 11.68 
%  2005                      5.00          104.66          10.0596 11.19 
%  2005                      5.00          104.68          10.0549 11.19 
%  2005                      5.00          104.68          10.0549 11.19 
%  2005                     10.00          104.72          10.0455 11.19 
%  2005                      5.00          104.68          10.0549 11.19 
%  2004                      5.00          107.26           9.9512 11.98 
%  2004                      5.00          107.30           9.9405 11.98 
%  2004                      5.00          107.265          9.9499 11.98 
%  2004                      5.00          107.28           9.9459 11.98 
