 
23 Jan 2001 
 
Subsidiary General Ledger Account Transactions in  
Government Dated Securities and Treasury Bills 
at RBI, Mumbai on 22 January 2001 
 
--------------------------------------------------------------------------- 
   Nomenclature                  Amount           Price *        YTM % 
                                 (Face Value)     Per Rs.100   Indicative 
                                 (in Rs.Crore)    nominal 
--------------------------------------------------------------------------- 
I.  Outright Transactions 
A.Government of India Dated Securities 
          Contract Date : January 16, 2001 
 10.80 %  2008                      5.00          101.90          10.4283 
 10.80 %  2008                      5.00          101.90          10.4283 
          Contract Date : January 18, 2001 
 11.40 %  2008                      5.00          105.43          10.3474 
 11.30 %  2010                      5.00          104.39          10.5569 
 12.60 %  2018                      5.00          111.85          11.0599 
 12.60 %  2018                      5.00          111.99          11.0434 
          Contract Date : January 19, 2001 
 11.75 %  2001                     30.00          101.07           9.8303 
 11.00 %  2006                      5.00          103.50          10.1552 
 11.00 %  2006                     10.00          103.40          10.1787 
 11.40 %  2008                      5.00          105.74          10.2897 
 11.40 %  2008                      5.00          105.54          10.3268 
 11.40 %  2008                     10.00          105.53          10.3287 
 11.40 %  2008                      5.00          105.52          10.3305 
 11.40 %  2008                      5.00          105.58          10.3194 
 11.40 %  2008                      5.00          105.55          10.3249 
 11.40 %  2008                      5.00          105.63          10.3101 
 11.40 %  2008                     10.00          105.53          10.3287 
 11.40 %  2008                      5.00          105.59          10.3175 
 11.40 %  2008                      5.00          105.62          10.3119 
 11.99 %  2009                     10.00          108.20          10.4706 
 11.99 %  2009                      5.00          108.31          10.4514 
 11.99 %  2009                     10.00          108.30          10.4531 
 11.99 %  2009                     10.00          108.33          10.4479 
 11.50 %  2010                      5.00          105.28          10.5948 
 11.30 %  2010                      5.00          104.75          10.4980 
 11.30 %  2010                      5.00          104.70          10.5061 
 12.32 %  2011                     10.00          109.93          10.6812 
 11.50 %  2011                      0.50          104.00          10.8519 
 11.50 %  2011                     15.00          105.45          10.6363 
 11.03 %  2012                     15.50          102.30          10.6778 
 11.03 %  2012                     10.00          102.30          10.6778 
 11.03 %  2012                      2.00          102.32          10.6748 
 11.03 %  2012                      5.00          102.23          10.6884 
 11.03 %  2012                      5.00          102.32          10.6748 
 11.43 %  2015                      5.00          104.25          10.8410 
