---------------------------------------------------------------------------
Nomenclature                  Amount           Price *        YTM %
                                 (Face Value)     Per Rs.100   Indicative
                                 ( Rs.Crore)    nominal
---------------------------------------------------------------------------
I.  Outright Transactions
A.Government of India Dated Securities
          Contract Date : January 12, 2001
 11.03 %  2012                      0.02          101.20          10.8443
          Contract Date : January 15, 2001
 11.03 %  2012                     10.00          101.58          10.7867
 11.03 %  2012                     15.00          101.60          10.7836
 11.03 %  2012                      5.00          101.60          10.7836
 11.03 %  2012                      5.00          101.60          10.7836
 11.03 %  2012                      5.00          101.44          10.8080
 11.03 %  2012                      5.00          101.56          10.7897
 11.03 %  2012                     20.00          101.62          10.7806
 11.03 %  2012                      5.00          101.50          10.7989
 11.03 %  2012                     10.00          101.50          10.7989
 11.03 %  2012                     10.00          101.50          10.7989
 11.03 %  2012                     20.00          101.40          10.8141
 11.03 %  2012                      5.00          101.47          10.8034
 11.03 %  2012                      5.00          101.50          10.7989
 11.03 %  2012                      5.00          101.47          10.8034
 11.03 %  2012                      5.00          101.51          10.7973
 11.03 %  2012                     10.00          101.55          10.7913
 11.03 %  2012                      5.00          101.47          10.8034
 11.03 %  2012                      5.00          101.55          10.7913
          Contract Date : January 16, 2001
 13.05 %  2007                     15.00          111.80          10.4290
 12.15 %  2008                     10.00          108.00          10.5286
 11.40 %  2008                      1.00          104.90          10.4467
 12.25 %  2010                      5.00          109.40          10.6473
 11.30 %  2010                      5.00          103.975         10.6252
 12.32 %  2011                      5.00          109.45          10.7558
 11.03 %  2012                      1.00          101.69          10.7701
 11.03 %  2012                      5.00          101.56          10.7898
 11.03 %  2012                      5.00          101.58          10.7868
 11.03 %  2012                      5.00          101.58          10.7868
 11.03 %  2012                      5.00          101.58          10.7868
 11.03 %  2012                      5.00          101.59          10.7853
 11.03 %  2012                      5.00          101.59          10.7853
 11.03 %  2012                      5.00          101.58          10.7868
 11.03 %  2012                      5.00          101.59          10.7853
 11.03 %  2012                     10.00          101.65          10.7761
 11.03 %  2012                      5.00          101.65          10.7761
 11.03 %  2012                      5.00          101.52          10.7959
 11.03 %  2012                      5.00          101.50          10.7990
in    
Mumbai on 18 January 2001 at RBI, 
Government Dated Securities and Treasury Bills
Subsidiary General Ledger Account Transactions in 11.03 %  2012                      0.07          101.75          10.7610
 11.03 %  2012                      5.00          101.56          10.7898
 11.03 %  2012                     10.00          101.60          10.7837
 11.03 %  2012                      5.00          101.62          10.7807
 11.03 %  2012                      5.00          101.63          10.7792
 11.03 %  2012                     10.00          101.565         10.7891
 11.03 %  2012                      5.00          101.51          10.7974
 11.03 %  2012                      5.00          101.57          10.7883
 11.03 %  2012                      5.00          101.62          10.7807
 11.03 %  2012                     10.00          101.58          10.7868
 11.03 %  2012                      5.00          101.65          10.7761
 11.03 %  2012                      5.00          101.65          10.7761
 11.03 %  2012                      5.00          101.58          10.7868
 11.03 %  2012                      5.00          101.58          10.7868
 11.03 %  2012                     10.00          101.57          10.7883
 11.03 %  2012                      5.00          101.57          10.7883
 11.43 %  2015                      5.00          103.095         10.9967
          Contract Date : January 17, 2001
 11.55 %  2001                      3.00          100.83           9.6321
 11.75 %  2001                      0.12          101.30           9.4514
 11.75 %  2001                     15.00          101.05           9.8799
 13.55 %  2001                      0.45          102.75          10.0944
 11.00 %  2002                      5.00          101.32           9.8809
 11.15 %  2002                      5.00          101.885          9.8475
 11.15 %  2002                      5.00          101.89           9.8441
 11.15 %  2002                      5.00          101.90           9.8374
 11.15 %  2002                     20.00          101.92           9.8240
 12.50 %  2004                      5.00          106.805          9.9408
 12.50 %  2004                      5.00          106.81           9.9390
 12.50 %  2004                      5.00          106.81           9.9390
 12.50 %  2004                      5.00          106.80           9.9426
 12.50 %  2004                      5.00          106.81           9.9390
 11.50 %  2004                      0.07          104.20           9.9678
 11.75 %  2004                      5.00          104.80          10.0511
 11.98 %  2004                      5.00          105.81          10.0264
 11.98 %  2004                      5.00          105.80          10.0296
 11.98 %  2004                      5.00          105.815         10.0248
 11.98 %  2004                     10.00          105.82          10.0232
 14.00 %  2005                      0.30          110.05          11.0413
 10.20 %  2005                      5.00          100.29          10.1170
 10.20 %  2005                      5.00          100.32          10.1086
 10.20 %  2005                      2.35          100.38          10.0916
 11.19 %  2005                      5.00          103.95          10.0853
 11.19 %  2005                     10.00          103.94          10.0880
 11.19 %  2005                     15.00          103.948         10.0857
 11.68 %  2006                     15.00          105.65          10.2486
 11.75 %  2006                     15.00          105.85          10.2709
 11.00 %  2006                     10.00          103.20          10.2262
 11.00 %  2006                      5.00          103.20          10.2262
 13.05 %  2007                     10.00          111.41          10.5086
 11.90 %  2007                      5.00          107.15          10.3326
 11.90 %  2007                      5.00          107.09          10.3452
 11.90 %  2007                      5.00          107.14          10.3347
 12.00 %  2008                      5.00          107.45          10.5047
 12.00 %  2008                      5.00          107.48          10.4990
 11.50 %  2008                      5.00          105.00          10.5008
 11.50 %  2008                      5.00          105.00          10.5008 11.40 %  2008                      5.00          105.04          10.4204
 11.40 %  2008                      5.00          105.06          10.4166
 11.40 %  2008                      5.00          105.05          10.4185
 11.40 %  2008                      5.00          105.04          10.4204
 11.40 %  2008                      5.00          105.09          10.4110
 11.40 %  2008                     10.00          105.07          10.4148
 11.40 %  2008                      5.00          105.07          10.4148
 11.40 %  2008                     10.00          105.01          10.4260
 11.40 %  2008                      5.00          105.04          10.4204
 11.40 %  2008                      5.00          105.06          10.4166
 11.40 %  2008                      5.00          105.05          10.4185
 11.40 %  2008                      5.00          105.06          10.4166
 11.40 %  2008                      5.00          105.06          10.4166
 11.40 %  2008                      5.00          105.05          10.4185
 11.40 %  2008                      5.00          105.05          10.4185
 11.40 %  2008                      5.00          105.05          10.4185
 11.40 %  2008                      5.00          105.05          10.4185
 11.40 %  2008                      5.00          105.05          10.4185
 11.40 %  2008                      5.00          105.06          10.4166
 11.40 %  2008                      5.00          105.05          10.4185
 11.40 %  2008                      5.00          105.05          10.4185
 11.40 %  2008                     10.00          105.00          10.4278
 11.40 %  2008                     10.00          105.06          10.4166
 11.40 %  2008                      5.00          105.06          10.4166
 11.40 %  2008                      5.00          105.06          10.4166
 11.40 %  2008                     10.00          105.07          10.4148
 11.40 %  2008                      5.00          105.00          10.4278
 11.40 %  2008                      5.00          105.05          10.4185
 11.40 %  2008                      5.00          105.02          10.4241
 11.40 %  2008                      5.00          105.055         10.4176
 11.99 %  2009                      5.00          107.89          10.5254
 11.99 %  2009                      5.00          107.90          10.5237
 11.99 %  2009                      5.00          107.90          10.5237
 11.99 %  2009                      5.00          107.88          10.5272
 11.99 %  2009                      5.00          107.89          10.5254
 11.99 %  2009                      5.00          107.89          10.5254
 11.50 %  2009                     10.00          104.825         10.6071
 11.50 %  2010                      2.00          105.00          10.6414
 12.25 %  2010                      5.00          109.305         10.6622
 12.25 %  2010                      5.00          109.32          10.6597
 12.25 %  2010                      5.00          109.33          10.6581
 12.25 %  2010                      5.00          109.32          10.6597
 12.25 %  2010                      5.00          109.33          10.6581
 12.25 %  2010                      5.00          109.325         10.6589
 12.25 %  2010                     10.00          109.30          10.6630
 11.30 %  2010                      5.00          104.04          10.6144
 11.30 %  2010                      5.00          104.08          10.6079
 11.30 %  2010                      5.00          104.07          10.6095
 11.30 %  2010                      5.00          104.065         10.6103
 11.30 %  2010                      5.00          104.09          10.6062
 11.30 %  2010                      5.00          104.06          10.6111
 11.30 %  2010                      5.00          104.08          10.6079
 11.30 %  2010                      5.00          104.08          10.6079
 11.30 %  2010                     10.00          104.05          10.6128
 11.30 %  2010                      5.00          104.04          10.6144
 11.30 %  2010                      5.00          104.05          10.6128
 11.30 %  2010                      5.00          104.07          10.6095 11.30 %  2010                      5.00          104.05          10.6128
 11.30 %  2010                      5.00          104.05          10.6128
 11.30 %  2010                      5.00          104.05          10.6128
 11.30 %  2010                      5.00          104.07          10.6095
 11.30 %  2010                      5.00          104.08          10.6079
 11.30 %  2010                      5.00          104.08          10.6079
 11.30 %  2010                      5.00          104.12          10.6013
 11.30 %  2010                      5.00          104.05          10.6128
 11.30 %  2010                      5.00          104.00          10.6210
 11.30 %  2010                      5.00          104.08          10.6079
 11.30 %  2010                      5.00          104.06          10.6111
 11.30 %  2010                      5.00          104.065         10.6103
 11.30 %  2010                     10.00          104.10          10.6046
 11.30 %  2010                      5.00          103.90          10.6375
 11.30 %  2010                      5.00          104.07          10.6095
 11.30 %  2010                      5.00          104.05          10.6128
 11.30 %  2010                      5.00          104.07          10.6095
 11.30 %  2010                      2.00          104.03          10.6161
 11.30 %  2010                      5.00          104.02          10.6177
 11.30 %  2010                      5.00          104.04          10.6144
 11.30 %  2010                      5.00          104.085         10.6070
 11.30 %  2010                      5.00          104.12          10.6013
 11.30 %  2010                      5.00          104.09          10.6062
 11.30 %  2010                      5.00          104.06          10.6111
 11.30 %  2010                      5.00          104.03          10.6161
 11.30 %  2010                      5.00          104.10          10.6046
 11.30 %  2010                      5.00          104.075         10.6087
 12.32 %  2011                      5.00          109.55          10.7402
 10.95 %  2011                      2.00          101.35          10.7267
 10.95 %  2011                      0.50          101.27          10.7395
 11.50 %  2011                      5.00          104.90          10.7204
 11.50 %  2011                      5.00          104.90          10.7204
 11.50 %  2011                      5.00          104.88          10.7234
 11.50 %  2011                      5.00          104.90          10.7204
 11.50 %  2011                      5.00          104.85          10.7280
 11.50 %  2011                      5.00          104.88          10.7234
 11.50 %  2011                      5.00          104.86          10.7265
 11.50 %  2011                     15.00          104.85          10.7280
 11.50 %  2011                      5.00          104.94          10.7143
 11.50 %  2011                      5.00          104.89          10.7219
 10.25 %  2012                      4.00           97.84          10.5771
 10.25 %  2012                      1.00           97.50          10.6301
 11.03 %  2012                      0.50          101.61          10.7823
 11.03 %  2012                      0.50          101.80          10.7535
 11.03 %  2012                      0.80          101.75          10.7610
 11.03 %  2012                      5.00          101.60          10.7838
 11.03 %  2012                      2.00          101.65          10.7762
 11.03 %  2012                      0.50          101.65          10.7762
 11.03 %  2012                      5.00          101.60          10.7838
 11.03 %  2012                      5.00          101.585         10.7861
 11.03 %  2012                      5.00          101.59          10.7853
 11.03 %  2012                      5.00          101.61          10.7823
 11.03 %  2012                      5.00          101.61          10.7823
 11.03 %  2012                      5.00          101.575         10.7876
 11.03 %  2012                      5.00          101.74          10.7626
 11.03 %  2012                      5.00          101.75          10.7610
 11.03 %  2012                      5.00          101.68          10.7717 11.03 %  2012                      5.00          101.69          10.7702
 11.03 %  2012                      5.00          101.65          10.7762
 11.03 %  2012                      5.00          101.69          10.7702
 11.03 %  2012                     10.00          101.57          10.7884
 11.03 %  2012                      5.00          101.65          10.7762
 11.03 %  2012                      5.00          101.60          10.7838
 11.03 %  2012                      5.00          101.55          10.7914
 11.03 %  2012                      5.00          101.76          10.7595
 11.03 %  2012                      1.00          101.50          10.7990
 11.03 %  2012                     10.00          101.64          10.7777
 11.03 %  2012                      5.00          101.72          10.7656
 11.03 %  2012                     10.00          101.63          10.7793
 11.03 %  2012                      5.00          101.62          10.7808
 11.03 %  2012                      5.00          101.62          10.7808
 11.03 %  2012                      5.00          101.58          10.7869
 11.03 %  2012                      5.00          101.59          10.7853
 11.03 %  2012                      5.00          101.67          10.7732
 11.03 %  2012                      5.00          101.61          10.7823
 11.03 %  2012                      5.00          101.585         10.7861
 11.03 %  2012                      5.00          101.59          10.7853
 11.03 %  2012                      5.00          101.60          10.7838
 11.03 %  2012                      5.00          101.60          10.7838
 11.03 %  2012                      1.00          101.65          10.7762
 11.03 %  2012                      0.90          101.65          10.7762
 11.03 %  2012                      5.00          101.60          10.7838
 11.03 %  2012                      5.00          101.71          10.7671
 11.03 %  2012                      5.00          101.72          10.7656
 11.03 %  2012                     45.00          101.585         10.7861
 11.03 %  2012                      5.00          101.63          10.7793
 11.03 %  2012                      5.00          101.72          10.7656
 11.03 %  2012                      5.00          101.60          10.7838
 11.03 %  2012                      5.00          101.69          10.7702
 11.03 %  2012                      5.00          101.45          10.8067
 11.03 %  2012                      5.00          101.68          10.7717
 11.03 %  2012                      5.00          101.59          10.7853
 11.03 %  2012                      5.00          101.69          10.7702
 11.03 %  2012                      5.00          101.66          10.7747
 11.03 %  2012                      5.00          101.64          10.7777
 11.03 %  2012                      0.369         101.50          10.7990
 11.03 %  2012                     45.00          101.58          10.7869
 11.03 %  2012                      5.00          101.59          10.7853
 12.40 %  2013                      5.00          110.00          10.9166
 12.40 %  2013                      5.00          109.95          10.9235
 10.50 %  2014                      2.50           97.60          10.8345
 10.50 %  2014                      5.00           97.74          10.8144
 10.50 %  2014                      1.00           97.85          10.7986
 11.50 %  2015                     10.00          103.44          11.0129
 11.50 %  2015                      3.00          103.75          10.9706
 11.43 %  2015                      2.00          103.30          10.9689
 11.43 %  2015                      0.50          103.35          10.9621
 11.43 %  2015                      5.00          103.25          10.9757
 11.43 %  2015                      0.50          103.30          10.9689
 11.43 %  2015                      2.00          103.30          10.9689
 11.43 %  2015                      5.00          103.26          10.9744
 11.43 %  2015                      5.00          103.18          10.9852
 11.43 %  2015                      5.00          103.24          10.9771
 11.43 %  2015                      5.00          103.24          10.9771 11.43 %  2015                      5.00          103.24          10.9771
 11.43 %  2015                      5.00          103.38          10.9581
 11.43 %  2015                      5.00          103.23          10.9784
 11.43 %  2015                      5.00          103.20          10.9825
 11.43 %  2015                      5.00          103.23          10.9784
 11.43 %  2015                      0.004         103.00          11.0097
 11.43 %  2015                      0.005         103.00          11.0097
 11.43 %  2015                      1.00          103.37          10.9594
 11.43 %  2015                      5.00          103.26          10.9744
 11.43 %  2015                      5.00          103.26          10.9744
 11.43 %  2015                      5.00          103.27          10.9730
 11.43 %  2015                      5.00          103.18          10.9852
 11.43 %  2015                      5.00          103.29          10.9703
 11.43 %  2015                      5.00          103.25          10.9757
 11.43 %  2015                      5.00          103.27          10.9730
 11.43 %  2015                      5.00          103.30          10.9689
 11.43 %  2015                      5.00          103.27          10.9730
 11.43 %  2015                      5.00          103.24          10.9771
 11.43 %  2015                      5.00          103.27          10.9730
 11.43 %  2015                      5.00          103.27          10.9730
 11.43 %  2015                      5.00          103.235         10.9777
 11.43 %  2015                      5.00          103.30          10.9689
 11.43 %  2015                      5.00          103.22          10.9798
 11.43 %  2015                      5.00          103.28          10.9716
 11.43 %  2015                      5.00          103.35          10.9621
 11.43 %  2015                      5.00          103.35          10.9621
 11.43 %  2015                      5.00          103.28          10.9716
 11.43 %  2015                      5.00          103.28          10.9716
 11.43 %  2015                      5.00          103.23          10.9784
 11.43 %  2015                      5.00          103.24          10.9771
 11.43 %  2015                      5.00          103.19          10.9839
 11.43 %  2015                      5.00          103.24          10.9771
 12.30 %  2016                      5.00          109.27          11.0353
 12.30 %  2016                      5.00          109.32          11.0289
 12.30 %  2016                      5.00          109.28          11.0340
 12.30 %  2016                      5.00          109.39          11.0200
 12.30 %  2016                      5.00          109.35          11.0251
 12.30 %  2016                     10.00          109.31          11.0302
 12.30 %  2016                     10.00          109.28          11.0340
 12.30 %  2016                      5.00          109.40          11.0188
 12.30 %  2016                      5.00          109.38          11.0213
 12.30 %  2016                     10.00          109.40          11.0188
 12.30 %  2016                      5.00          109.25          11.0378
 12.30 %  2016                      5.00          109.24          11.0391
 12.30 %  2016                      5.00          109.32          11.0289
 12.30 %  2016                      5.00          109.33          11.0277
 12.30 %  2016                      5.00          109.35          11.0251
 12.30 %  2016                      5.00          109.34          11.0264
 12.60 %  2018                     10.00          111.40          11.1135
 12.60 %  2018                      5.00          111.42          11.1111
 12.60 %  2018                      2.00          111.15          11.1433
 12.60 %  2018                      5.00          111.41          11.1123
 12.60 %  2018                      0.40          111.44          11.1087
 12.60 %  2018                      0.15          111.45          11.1075
 10.70 %  2020                      1.00           97.60          10.9979
 10.70 %  2020                      1.50           97.05          11.0689
 10.70 %  2020                     20.00           97.25          11.0430 10.70 %  2020                      0.10           97.00          11.0753
          Contract Date : January 18, 2001
 10.85 %  2001                      5.00          100.475          9.8941
 10.85 %  2001                      5.00          100.475          9.8941
 11.75 %  2001                     10.00          101.05           9.8725
 13.55 %  2001                      5.00          102.86           9.9501
 11.00 %  2002                     10.00          101.33           9.8703
 11.15 %  2002                      5.00          101.92           9.8221
 11.15 %  2002                      5.00          101.90           9.8356
 11.15 %  2002                     10.00          101.90           9.8356
 11.15 %  2002                      5.00          101.91           9.8289
 11.15 %  2002                      5.00          101.925          9.8188
 11.15 %  2002                      5.00          101.925          9.8188
 11.10 %  2003                      5.00          102.33           9.8882
 11.10 %  2003                      5.00          102.32           9.8933
 11.10 %  2003                      5.00          102.34           9.8832
 11.10 %  2003                      5.00          102.34           9.8832
 11.10 %  2003                      5.00          102.38           9.8630
 12.50 %  2004                      5.00          106.86           9.9193
 12.50 %  2004                      5.00          106.84           9.9265
 12.50 %  2004                      5.00          106.85           9.9229
 12.50 %  2004                      5.00          106.83           9.9301
 12.50 %  2004                      5.00          106.85           9.9229
 12.50 %  2004                      5.00          106.85           9.9229
 12.50 %  2004                      5.00          106.83           9.9301
 12.50 %  2004                      5.00          106.84           9.9265
 12.50 %  2004                      5.00          106.84           9.9265
 12.50 %  2004                     10.00          106.82           9.9337
 12.50 %  2004                      5.00          106.835          9.9283
 12.50 %  2004                      5.00          106.82           9.9337
 12.50 %  2004                     10.00          106.825          9.9319
 11.50 %  2004                      5.00          104.10          10.0019
 11.98 %  2004                      5.00          105.80          10.0285
 11.98 %  2004                     10.00          105.81          10.0253
 10.20 %  2005                     10.00          100.36          10.0970
 10.20 %  2005                      5.00          100.33          10.1055
 10.20 %  2005                     10.00          100.37          10.0942
 10.20 %  2005                      5.00          100.33          10.1055
 10.20 %  2005                     10.00          100.33          10.1055
 10.20 %  2005                      5.00          100.33          10.1055
 10.20 %  2005                      5.00          100.33          10.1055
 10.20 %  2005                      5.00          100.33          10.1055
 10.20 %  2005                      5.00          100.36          10.0970
 10.20 %  2005                      5.00          100.35          10.0999
 10.20 %  2005                      5.00          100.32          10.1083
 11.19 %  2005                      5.00          103.98          10.0768
 11.19 %  2005                      5.00          104.05          10.0577
 11.19 %  2005                      5.00          103.98          10.0768
 11.19 %  2005                      9.4085        103.99          10.0740
 11.19 %  2005                      5.00          104.05          10.0577
 11.19 %  2005                      5.00          104.02          10.0659
 11.19 %  2005                     10.00          104.05          10.0577
