in Government Dated Securities and Treasury Bills
at RBI, Mumbai on 14 August 2001
1
 00013  11.00 %  2006               5.00          112.95           7.7988
 00013  11.00 %  2006               5.00          112.95           7.7988
 00013  11.00 %  2006               5.00          112.95           7.7988
 98005  11.75 %  2006               5.00          115.14           7.8151
 98005  11.75 %  2006               5.00          115.14           7.8151
 98005  11.75 %  2006               5.00          115.14           7.8151
 98005  11.75 %  2006               0.50          114.30           8.0153
 99008  11.68 %  2006               5.00          114.97           7.7811
 99008  11.68 %  2006               5.00          114.96           7.7835
 99008  11.68 %  2006               5.00          114.95           7.7859
 99008  11.68 %  2006               5.00          114.95           7.7859
 99008  11.68 %  2006               5.00          114.95           7.7859
 99008  11.68 %  2006               5.00          114.94           7.7883
 99008  11.68 %  2006              15.00          114.97           7.7811
 99008  11.68 %  2006               5.00          114.98           7.7788
 97010  11.19 %  2005              10.00          112.10           7.6214
 97010  11.19 %  2005               5.00          112.13           7.6131
 97010  11.19 %  2005               5.00          112.125          7.6145
 00011  10.20 %  2005               0.01          108.10           7.7567
 00011  10.20 %  2005               5.00          108.52           7.6366
 00011  10.20 %  2005               5.00          108.52           7.6366
 00007   9.90 %  2005               5.00          107.12           7.6431
 86013  11.30 %  2004              30.00          110.75           7.4588
 98022  11.98 %  2004              20.00          112.20           7.4551
 98022  11.98 %  2004              30.00          112.20           7.4551
 94003  12.50 %  2004               5.00          111.90           7.3964
 94003  12.50 %  2004               5.00          111.90           7.3964
 94003  12.50 %  2004               5.00          111.91           7.3924
 94003  12.50 %  2004               5.00          111.90           7.3964
 94003  12.50 %  2004              10.00          111.90           7.3964
 94003  12.50 %  2004               5.00          111.91           7.3924
 94003  12.50 %  2004               5.00          111.90           7.3964
 94003  12.50 %  2004               5.00          111.91           7.3924
 94003  12.50 %  2004               5.00          111.91           7.3924
 94003  12.50 %  2004              10.00          111.905          7.3944
 98004  11.10 %  2003              15.00          105.85           7.2604
 97011  11.15 %  2002              10.00          103.93           7.1883
 97011  11.15 %  2002              10.00          103.93           7.1883
 94009  11.75 %  2001              30.00          100.132          7.4895
          Contract Date : August 13, 2001
A.Government of India Dated Securities
I.  Outright Transactions
---------------------------------------------------------------------------
                                 (in Rs.Crore)    nominal
 Code                            (Face Value)     Per Rs.100   Indicative
 Loan  Nomenclature              Amount           Price *        YTM %
---------------------------------------------------------------------------
Subsidiary General Ledger Account Transactions2
